ID,Title,Type,Lat,Long,Location
439,Thott 1753 4to,Destination,55.676097,12.568337,København
440,Thott 1755 4to,Source,55.675,12.5687,Copenhagen
440,Thott 1755 4to,Destination,55.676097,12.568337,København
441,Thott 1756 4to,Source,55.675,12.5687,Copenhagen
441,Thott 1756 4to,Destination,55.676097,12.568337,København
442,Thott 1768 4to,Source,55.675,12.5687,Copenhagen
442,Thott 1768 4to,Destination,55.676097,12.568337,København
443,UB 233 a-b fol.,Source,55.675,12.5687,Copenhagen
443,UB 233 a-b fol.,Destination,59.913869,10.752245,Oslo
444,UB 1156 8vo,Source,65.386127,-21.956474,Tjaldanes
444,UB 1156 8vo,Destination,59.913869,10.752245,Oslo
