ID,Title,Type,Lat,Long,Location
271,Lbs 1491 4to,Destination,64.135338,-21.89521,Reykjavík
272,Lbs 1492 4to,Source,65.386127,-21.956474,Tjaldanes
272,Lbs 1492 4to,Destination,64.135338,-21.89521,Reykjavík
273,Lbs 1493 4to,Source,65.386127,-21.956474,Tjaldanes
273,Lbs 1493 4to,Destination,64.135338,-21.89521,Reykjavík
274,Lbs 1495 4to,Source,65.386127,-21.956474,Tjaldanes
274,Lbs 1495 4to,Destination,64.135338,-21.89521,Reykjavík
275,Lbs 1497 4to,Source,65.386127,-21.956474,Tjaldanes
275,Lbs 1497 4to,Destination,64.135338,-21.89521,Reykjavík
276,Lbs 1498 4to,Source,65.386127,-21.956474,Tjaldanes
276,Lbs 1498 4to,Destination,64.135338,-21.89521,Reykjavík
277,Lbs 1500 4to,Source,65.386127,-21.956474,Tjaldanes
277,Lbs 1500 4to,Destination,64.135338,-21.89521,Reykjavík
278,Lbs 1501 4to,Source,65.386127,-21.956474,Tjaldanes
278,Lbs 1501 4to,Destination,64.135338,-21.89521,Reykjavík
279,Lbs 1503 4to,Source,65.386127,-21.956474,Tjaldanes
279,Lbs 1503 4to,Destination,64.135338,-21.89521,Reykjavík
280,Lbs 1504 4to,Source,65.386127,-21.956474,Tjaldanes
280,Lbs 1504 4to,Destination,64.135338,-21.89521,Reykjavík
281,Lbs 1505 4to,Source,65.386127,-21.956474,Tjaldanes
281,Lbs 1505 4to,Destination,64.135338,-21.89521,Reykjavík
282,Lbs 1508 4to,Source,65.386127,-21.956474,Tjaldanes
282,Lbs 1508 4to,Destination,64.135338,-21.89521,Reykjavík
283,Lbs 1509 4to,Source,65.386127,-21.956474,Tjaldanes
283,Lbs 1509 4to,Destination,64.135338,-21.89521,Reykjavík
284,Lbs 1510 4to,Source,65.386127,-21.956474,Tjaldanes
284,Lbs 1510 4to,Destination,64.135338,-21.89521,Reykjavík
285,Lbs 1573 4to,Source,65.180784,-14.639736,Hof
285,Lbs 1573 4to,Destination,64.135338,-21.89521,Reykjavík
286,Lbs 1626 4to,Source,65.386127,-21.956474,Tjaldanes
286,Lbs 1626 4to,Destination,64.135338,-21.89521,Reykjavík
287,Lbs 1629 4to,Source,65.853479,-18.596883,Syðra-Hvarf
287,Lbs 1629 4to,Destination,64.135338,-21.89521,Reykjavík
288,Lbs 1762 4to,Source,64.69783,-14.19742,Steinaborg
288,Lbs 1762 4to,Destination,64.135338,-21.89521,Reykjavík
289,Lbs 2118 4to,Source,49.88,-97.17,Winnipeg
289,Lbs 2118 4to,Destination,64.135338,-21.89521,Reykjavík
290,Lbs 2317 4to,Source,65.628233,-21.691027,Tröllatunga
290,Lbs 2317 4to,Destination,64.135338,-21.89521,Reykjavík
291,Lbs 2319 4to,Source,65.360664,-21.921361,Staðarhóll
291,Lbs 2319 4to,Destination,64.135338,-21.89521,Reykjavík
292,Lbs 2943 4to,Source,65.386127,-21.956474,Tjaldanes
292,Lbs 2943 4to,Destination,64.135338,-21.89521,Reykjavík
293,Lbs 3164 4to,Source,65.112868,-22.597349,Hrappsey
293,Lbs 3164 4to,Destination,64.135338,-21.89521,Reykjavík
294,Lbs 3713 4to,Source,64.133333,-21.933333,Reykjavík
294,Lbs 3713 4to,Destination,64.135338,-21.89521,Reykjavík
